Judul Berita,URL
['Bedah Editorial MI: Gengsi Politik Buka Jalan Banjir'],/play/N9nCvEL1-bedah-editorial-mi-gengsi-politik-buka-jalan-banjir
['Bedah Editorial MI: Politik Jangan Gaduh Agar Ekonomi Tidak Lesu'],/play/NP6CAn1O-bedah-editorial-mi-politik-jangan-gaduh-agar-ekonomi-tidak-lesu
['Politik Jangan Gaduh Agar Ekonomi Tidak Lesu'],/play/N6GC0elM-politik-jangan-gaduh-agar-ekonomi-tidak-lesu
['Pemicu  Intoleransi: Kepentingan Politik & Ketimpangan Ekonomi'],/play/bD2CWLQM-pemicu-intoleransi-kepentingan-politik-ketimpangan-ekonomi
['Kaleidoskop Internasional: Krisis Politik Hong Kong'],/play/bzGCp1m2-kaleidoskop-internasional-krisis-politik-hong-kong
['Refleksi Politik 2019 (1)'],/play/KXyC0VPJ-refleksi-politik-2019-1
['Refleksi Politik 2019 (2)'],/play/kj2C1pwQ-refleksi-politik-2019-2
['Momentum Anak Presiden Masuk Politik'],/play/KvJCQAoa-momentum-anak-presiden-masuk-politik
"['Wabup Nduga Mundur, Mahfud: Bisa Saja Manuver Politik']",/play/N9nCvE6g-wabup-nduga-mundur-mahfud-bisa-saja-manuver-politik
"['Politik Akomodatif, Istana Makin Gemuk? (1)']",/play/KYVC68ne-politik-akomodatif-istana-makin-gemuk-1
"['Politik Akomodatif, Istana Makin Gemuk? (2)']",/play/koGCGZjg-politik-akomodatif-istana-makin-gemuk-2
['Berbagai Peristiwa Politik Indonesia Sepanjang 2019'],/play/bD2CWLx5-berbagai-peristiwa-politik-indonesia-sepanjang-2019
"['""Obesitas"" Politik di Istana Negara (5)']",/play/N6GC0wpL-obesitas-politik-di-istana-negara-5
"['""Obesitas"" Politik di Istana Negara (4)']",/play/kqYCo79V-obesitas-politik-di-istana-negara-4
"['""Obesitas"" Politik di Istana Negara (3)']",/play/bVDCQL1L-obesitas-politik-di-istana-negara-3
"['""Obesitas"" Politik di Istana Negara (2)']",/play/NgxCrvGQ-obesitas-politik-di-istana-negara-2
"['""Obesitas"" Politik di Istana Negara (1)']",/play/kWDCdVG2-obesitas-politik-di-istana-negara-1
"['Pidato Refleksi Pergantian Tahun, SBY Singgung Politik Identitas di Pemilu 2019']",/play/ba4CVAP4-pidato-refleksi-pergantian-tahun-sby-singgung-politik-identitas-di-pemilu-2019
"['Pidato Politik Ketum Partai Demokrat: Indonesia 2020, Peluang, Tantangan dan Harapan']",/play/NleC6y9q-pidato-politik-ketum-partai-demokrat-indonesia-2020-peluang-tantangan-dan-harapan
['MK Jegal Hak Politik Eks Napi Koruptor'],/play/bzGCpve9-mk-jegal-hak-politik-eks-napi-koruptor
['Nilai Pancasila di Kehidupan Sosial Politik (2)'],/play/kj2C1g7p-nilai-pancasila-di-kehidupan-sosial-politik-2
['Nilai Pancasila di Kehidupan Sosial Politik (1)'],/play/kpLCB7Jp-nilai-pancasila-di-kehidupan-sosial-politik-1
['Partai NasDem Konsisten Politik Tanpa Mahar'],/play/bw6C5dPG-partai-nasdem-konsisten-politik-tanpa-mahar
['Jokowi Ingatkan Semua Elemen Bangsa Jaga Stabilitas Politik dan Ekonomi'],/play/ba4CVDpo-jokowi-ingatkan-semua-elemen-bangsa-jaga-stabilitas-politik-dan-ekonomi
['KPPI Tingkatkan Partisipasi Politik Perempuan'],/play/KdZCq4yV-kppi-tingkatkan-partisipasi-politik-perempuan
['Manuver Politik Partai Dakwah'],/play/NA0C2qpP-manuver-politik-partai-dakwah
['Taktik Politik NasDem dalam Pemilihan Capres 2024'],/play/NgxC7QPE-taktik-politik-nasdem-dalam-pemilihan-capres-2024
['Editorial MI: Tolak Politik Baper'],/play/koGCjXw9-editorial-mi-tolak-politik-baper
['Tolak Politik Baper'],/play/KYVCn1zv-tolak-politik-baper
['NasDem Ingin Menjaga Lanskap Politik Nasional Kondusif'],/play/NgxC7Q0X-nasdem-ingin-menjaga-lanskap-politik-nasional-kondusif
['Pesan Politik di Kongres II Partai NasDem'],/play/NleCzeXl-pesan-politik-di-kongres-ii-partai-nasdem
['Kongres NasDem Diharapkan Menciptakan Stabilitas Politik'],/play/NQACnPyE-kongres-nasdem-diharapkan-menciptakan-stabilitas-politik
['Pengamat: Komunikasi Politik NasDem-PKS Membantu Jokowi'],/play/kM6CzJYo-pengamat-komunikasi-politik-nasdem-pks-membantu-jokowi
['Idham Azis Diminta Bawa Polri Bebas dari Kepentingan Politik'],/play/kM6CzJR8-idham-azis-diminta-bawa-polri-bebas-dari-kepentingan-politik
['Memaknai Komunikasi Politik Partai NasDem-PKS'],/play/N6GC4Gzw-memaknai-komunikasi-politik-partai-nasdem-pks
['Silaturahmi Partai NasDem dan PKS Diharapkan Jadi Pendidikan Politik yang Baik'],/play/kj2CLRB8-silaturahmi-partai-nasdem-dan-pks-diharapkan-jadi-pendidikan-politik-yang-baik
['Tiga Kesepahaman Politik NasDem-PKS'],/play/N4ECxVj3-tiga-kesepahaman-politik-nasdem-pks
['Menlu Sampaikan Empat Prioritas Politik Luar Negeri Indonesia'],/play/kWDC9MRd-menlu-sampaikan-empat-prioritas-politik-luar-negeri-indonesia
['Tak Ada Lawan atau Kawan Abadi dalam Politik'],/play/bJECYdP2-tak-ada-lawan-atau-kawan-abadi-dalam-politik
"['Wakil Menteri, Antara Kebutuhan dan Akomodasi Politik']",/play/bVDCwx1V-wakil-menteri-antara-kebutuhan-dan-akomodasi-politik
"['Puluhan Tahun di Politik, Zainudin Amali Kaget Ditunjuk Jadi Menpora']",/play/N9nC4gxR-puluhan-tahun-di-politik-zainudin-amali-kaget-ditunjuk-jadi-menpora
['Jokowi dan Tantangan Politik ke Depan (4)'],/play/KZmC0lXo-jokowi-dan-tantangan-politik-ke-depan-4
['Jokowi dan Tantangan Politik ke Depan (3)'],/play/kj2CLRym-jokowi-dan-tantangan-politik-ke-depan-3
['Jokowi dan Tantangan Politik ke Depan (2)'],/play/KXyCY24W-jokowi-dan-tantangan-politik-ke-depan-2
['Jokowi dan Tantangan Politik ke Depan (1)'],/play/kpLCo5za-jokowi-dan-tantangan-politik-ke-depan-1
['Ketua DPP Golkar: Kemampuan Politik Tetty Paruntu Tak Perlu Diragukan'],/play/b2lCZ03w-ketua-dpp-golkar-kemampuan-politik-tetty-paruntu-tak-perlu-diragukan
['Politik Baru Indonesia'],/play/kewCOJjn-politik-baru-indonesia
['Bahaya Intoleransi dan Politik Identitas'],/play/bzGCX8e1-bahaya-intoleransi-dan-politik-identitas
['Safari Politik yang Menghilangkan Sekat'],/play/bD2Cp4wr-safari-politik-yang-menghilangkan-sekat
['Lobi Politik Jelang Pelantikan Presiden'],/play/KdZCOnVV-lobi-politik-jelang-pelantikan-presiden
['Manuver Politik Jelang Pelantikan Presiden'],/play/bD2Cp4gJ-manuver-politik-jelang-pelantikan-presiden
['Tiga Sikap Politik Prabowo di Rapimnas Gerindra'],/play/kj2CLRd6-tiga-sikap-politik-prabowo-di-rapimnas-gerindra
['Bedah Editorial MI: Safari Politik Lenyapkan Sekat'],/play/kBVCjYX0-bedah-editorial-mi-safari-politik-lenyapkan-sekat
['Safari Politik Lenyapkan Sekat'],/play/NQACnglg-safari-politik-lenyapkan-sekat
['Safari Politik Jelang Jokowi Dilantik (4)'],/play/NLMCja3V-safari-politik-jelang-jokowi-dilantik-4
['Safari Politik Jelang Jokowi Dilantik (3)'],/play/b2lCZ0Bv-safari-politik-jelang-jokowi-dilantik-3
['Safari Politik Jelang Jokowi Dilantik (2)'],/play/NrWCl7xj-safari-politik-jelang-jokowi-dilantik-2
['Safari Politik Jelang Jokowi Dilantik (1)'],/play/KRXCGL2n-safari-politik-jelang-jokowi-dilantik-1
['Safari Politik Sebelum Pelantikan'],/play/K5nCXdQp-safari-politik-sebelum-pelantikan
['Dinamika Politik Jelang Pelantikan Presiden'],/play/N9nC4mZ1-dinamika-politik-jelang-pelantikan-presiden
['Diplomasi Politik Oposisi'],/play/N4ECx664-diplomasi-politik-oposisi
['Sekolah Legislatif Partai NasDem Berikan Materi Komunikasi Publik dan Politik'],/play/NrWClLeg-sekolah-legislatif-partai-nasdem-berikan-materi-komunikasi-publik-dan-politik
['Beda Pilihan Politik Berujung Penganiayaan'],/play/N4ECx6we-beda-pilihan-politik-berujung-penganiayaan
['Peta Politik Pemilihan Ketua MPR'],/play/b7WCqPxq-peta-politik-pemilihan-ketua-mpr
['Menanti Langkah Politik Jokowi Pascakerusuhan'],/play/NLMCjQxX-menanti-langkah-politik-jokowi-pascakerusuhan
['NasDem Bangun Kesadaran Politik yang Bermoral'],/play/kj2CL3PY-nasdem-bangun-kesadaran-politik-yang-bermoral
['Tren Kebebasan Sipil dan Hak Politik Turun di Indeks Demokrasi Indonesia 2018'],/play/kM6CznZO-tren-kebebasan-sipil-dan-hak-politik-turun-di-indeks-demokrasi-indonesia-2018
['Mahasiswa Bicara Politik Negara'],/play/kj2CL3qZ-mahasiswa-bicara-politik-negara
['Fenomena Dinasti Politik (2)'],/play/N4ECxzzR-fenomena-dinasti-politik-2
['Fenomena Dinasti Politik (1)'],/play/bJECY88W-fenomena-dinasti-politik-1
"['Buka Pendaftaran Cakada, Partai NasDem Tekankan Politik Tanpa Mahar']",/play/N0BCGLP9-buka-pendaftaran-cakada-partai-nasdem-tekankan-politik-tanpa-mahar
"['Habibie Teladan di Bidang Politik, Teknologi dan Cinta']",/play/bD2CpvWx-habibie-teladan-di-bidang-politik-teknologi-dan-cinta
['Pesan Persatuan dalam Pidato Politik Jokowi'],/play/KRXCGPr0-pesan-persatuan-dalam-pidato-politik-jokowi
['Gerindra Belum Tentukan Sikap Politik'],/play/N6GC4mdn-gerindra-belum-tentukan-sikap-politik
['Keserakahan Politik'],/play/k8oC9P57-keserakahan-politik
['Bedah Editorial MI: Keserakahan Politik'],/play/NgxC7XZZ-bedah-editorial-mi-keserakahan-politik
['Paket Lobi Politik Lewat Amendemen UUD 1945'],/play/NOlCGq4n-paket-lobi-politik-lewat-amendemen-uud-1945
['Peluang Poros Baru Politik'],/play/bzGCXPD6-peluang-poros-baru-politik
"[""'Curhat Politik' Mega dalam Kongres V PDIP""]",/play/b7WCq9qz-curhat-politik-mega-dalam-kongres-v-pdip
['Bedah Editorial MI: Politik Kebangsaan Mbah Moen'],/play/kewCOqQm-bedah-editorial-mi-politik-kebangsaan-mbah-moen
['Politik Kebangsaan Mbah Moen'],/play/bmRC6ALg-politik-kebangsaan-mbah-moen
['Politik dan Kabinet Jokowi Jilid Dua'],/play/kewCOqv7-politik-dan-kabinet-jokowi-jilid-dua
['Tak Mudah Membangun Politik Dinasti'],/play/KvJCYGZE-tak-mudah-membangun-politik-dinasti
['Gibran Bicara Kemungkinan Terjun ke Dunia Politik'],/play/N0BCGn42-gibran-bicara-kemungkinan-terjun-ke-dunia-politik
['Silat Politik Partai Gerindra'],/play/b3JCoz8m-silat-politik-partai-gerindra
['Politik Nasi Goreng Cairkan Perbedaan'],/play/bw6CjDvD-politik-nasi-goreng-cairkan-perbedaan
"[""Jokowi Bekerja 'Tanpa Beban Politik' di Periode Kedua""]",/play/bD2CpX3D-jokowi-bekerja-tanpa-beban-politik-di-periode-kedua
['Di Balik Silaturahmi Politik'],/play/NgxC7oW1-di-balik-silaturahmi-politik
['Puerto Rico Hadapi Krisis Politik'],/play/NrWCl6yq-puerto-rico-hadapi-krisis-politik
['Pertemuan Prabowo-Megawati Jadi Pendidikan Politik yang Baik untuk Masyarakat'],/play/bzGCXdeo-pertemuan-prabowo-megawati-jadi-pendidikan-politik-yang-baik-untuk-masyarakat
['Politik Nasi Goreng Mega-Prabowo'],/play/KRXCG1Q1-politik-nasi-goreng-mega-prabowo
['Partai Politik Pendukung Pemerintah Sepakat Pertahankan Soliditas Koalisi'],/play/Ky6C6QBE-partai-politik-pendukung-pemerintah-sepakat-pertahankan-soliditas-koalisi
['Muda Melek Politik (3)'],/play/kj2CLQ7Q-muda-melek-politik-3
['Muda Melek Politik (2)'],/play/KXyCYqOJ-muda-melek-politik-2
['Muda Melek Politik (1)'],/play/kpLCoeJ2-muda-melek-politik-1
"['Isu Politik Uang Wagub DKI, Taufiqurrahman Laporkan Rian Ernest PSI ke Polisi']",/play/kqYCG6V3-isu-politik-uang-wagub-dki-taufiqurrahman-laporkan-rian-ernest-psi-ke-polisi
['Pendidikan Politik Partai NasDem'],/play/bmRC6zZw-pendidikan-politik-partai-nasdem
['Dugaan Politik Uang Pemilihan Wagub DKI'],/play/b2lCZl0o-dugaan-politik-uang-pemilihan-wagub-dki
['Pembekalan Politik Partai NasDem Dibagi Menjadi 3 Kurikulum'],/play/kELCYvZQ-pembekalan-politik-partai-nasdem-dibagi-menjadi-3-kurikulum
['Visi Indonesia - Pidato Politik Presiden Terpilih Jokowi (8)'],/play/NLMCjodp-visi-indonesia-pidato-politik-presiden-terpilih-jokowi-8
['Visi Indonesia - Pidato Politik Presiden Terpilih Jokowi (7)'],/play/b2lCZlaJ-visi-indonesia-pidato-politik-presiden-terpilih-jokowi-7
['Visi Indonesia - Pidato Politik Presiden Terpilih Jokowi (6)'],/play/NrWCl06m-visi-indonesia-pidato-politik-presiden-terpilih-jokowi-6
['Visi Indonesia - Pidato Politik Presiden Terpilih Jokowi (5)'],/play/KRXCGX1v-visi-indonesia-pidato-politik-presiden-terpilih-jokowi-5
['Visi Indonesia - Pidato Politik Presiden Terpilih Jokowi (4)'],/play/NxGCOJMW-visi-indonesia-pidato-politik-presiden-terpilih-jokowi-4
['Visi Indonesia - Pidato Politik Presiden Terpilih Jokowi (3)'],/play/NA0C7lRy-visi-indonesia-pidato-politik-presiden-terpilih-jokowi-3
['Visi Indonesia - Pidato Politik Presiden Terpilih Jokowi (2)'],/play/K5nCXoWO-visi-indonesia-pidato-politik-presiden-terpilih-jokowi-2
['Visi Indonesia - Pidato Politik Presiden Terpilih Jokowi (1)'],/play/KZmC02OR-visi-indonesia-pidato-politik-presiden-terpilih-jokowi-1
"[""'Mendinginkan' Suhu Politik Pascapilpres 2019""]",/play/Ky6C6VV1-mendinginkan-suhu-politik-pascapilpres-2019
['PBNU: Pertemuan Jokowi-Prabowo Berikan Dampak Politik yang Baik ke Masyrakat'],/play/b3JCoq6W-pbnu-pertemuan-jokowi-prabowo-berikan-dampak-politik-yang-baik-ke-masyrakat
['Pertemuan Jokowi dan Prabowo Beri Pendidikan Politik Bagi Masyarakat'],/play/NA0C7lW7-pertemuan-jokowi-dan-prabowo-beri-pendidikan-politik-bagi-masyarakat
"['Jubir TKN: Politik Tak Bisa Dibohongi, Jangan Sebarkan Berita Hoaks']",/play/N9nC4VR6-jubir-tkn-politik-tak-bisa-dibohongi-jangan-sebarkan-berita-hoaks
['Gerindra Segera Gelar Rapat Internal untuk Tentukan Sikap Politik'],/play/NnjC5Elg-gerindra-segera-gelar-rapat-internal-untuk-tentukan-sikap-politik
"['Lakukan Politik Uang, Caleg Gerindra di Mamuju Tengah Divonis 6 Bulan Penjara']",/play/NQACn959-lakukan-politik-uang-caleg-gerindra-di-mamuju-tengah-divonis-6-bulan-penjara
['Elite Politik Diminta Tidak Kembali Gelorakan Turun ke Jalan'],/play/N4ECxgWM-elite-politik-diminta-tidak-kembali-gelorakan-turun-ke-jalan
['Pesan Politik Habibie (4)'],/play/kWDC9v4X-pesan-politik-habibie-4
['Pesan Politik Habibie (3)'],/play/NnjC5PZE-pesan-politik-habibie-3
['Pesan Politik Habibie (2)'],/play/KvJCYr5r-pesan-politik-habibie-2
['Pesan Politik Habibie (1)'],/play/kBVCj8en-pesan-politik-habibie-1
['Silaturahmi Elite Politik di Momen Lebaran'],/play/NnjC56oe-silaturahmi-elite-politik-di-momen-lebaran
['Ketua DPR Harap Lebaran Jadi Momentum Menurunkan Tensi Politik'],/play/k8oC9B1D-ketua-dpr-harap-lebaran-jadi-momentum-menurunkan-tensi-politik
['Kehangatan di Keluarga Beda Pilihan Politik (2)'],/play/NxGCOxeZ-kehangatan-di-keluarga-beda-pilihan-politik-2
['Kehangatan di Keluarga Beda Pilihan Politik (1)'],/play/NA0C7QPP-kehangatan-di-keluarga-beda-pilihan-politik-1
"['Singgung Pilihan Politik Ibu Ani, #ShameOnYouPrabowo Banjiri Twitter']",/play/KXyCYZgO-singgung-pilihan-politik-ibu-ani-shameonyouprabowo-banjiri-twitter
['SBY Keberatan Pernyataan Prabowo Soal Pilihan Politik Ibu Ani'],/play/N6GC4WM9-sby-keberatan-pernyataan-prabowo-soal-pilihan-politik-ibu-ani
['Peran Penting Masyarakat Menghadapi Kejahatan Politik'],/play/NA0C7QyR-peran-penting-masyarakat-menghadapi-kejahatan-politik
"['Terbukti Politik Uang, Wabup Padang Lawas Utara Dijebloskan ke Rutan Gunung Tua']",/play/bzGCXx7A-terbukti-politik-uang-wabup-padang-lawas-utara-dijebloskan-ke-rutan-gunung-tua
['Penindakan Makar di Luar Politik Istana (2)'],/play/kM6CzojM-penindakan-makar-di-luar-politik-istana-2
['Penindakan Makar di Luar Politik Istana (1)'],/play/N9nC4JLj-penindakan-makar-di-luar-politik-istana-1
['Bedah Editorial MI: Membatasi Gerak Bandit Politik'],/play/Ky6C6wGO-bedah-editorial-mi-membatasi-gerak-bandit-politik
['Membatasi Gerak Bandit Politik'],/play/NG9CRMdp-membatasi-gerak-bandit-politik
['Upaya Menurunkan Tensi Politik Pascapemilu 2019'],/play/NleCzBXP-upaya-menurunkan-tensi-politik-pascapemilu-2019
['Elite Politik Diminta Tak Lontarkan Pernyataan Spekulatif dan Provokatif'],/play/kBVCj31r-elite-politik-diminta-tak-lontarkan-pernyataan-spekulatif-dan-provokatif
['Elite Politik Diminta Bijak Sikapi Hasil Pemilu 2019'],/play/bzGCXY5Q-elite-politik-diminta-bijak-sikapi-hasil-pemilu-2019
['Nurulita Dipecat Karena Beda Pilihan Politik'],/play/bw6CjQA4-nurulita-dipecat-karena-beda-pilihan-politik
"[""Ponpes Mambaul Ma'arif Gelar Nobar Debat Cawapres""]",/play/KZ7U0yvm-ponpes-mambaul-ma-arif-gelar-nobar-debat-cawapres
['Peserta Apel Kebangsaan Dilarang Pakai Atribut Politik'],/play/N98U4r8G-peserta-apel-kebangsaan-dilarang-pakai-atribut-politik
['Safari Politik Jokowi di Sumatera Utara'],/play/kpXUomqd-safari-politik-jokowi-di-sumatera-utara
['Jokowi Ajak Masyarakat Jaga Persatuan Meski Beda Pilihan Politik'],/play/bwGUjQaO-jokowi-ajak-masyarakat-jaga-persatuan-meski-beda-pilihan-politik
['Ketum Parpol yang Terjerat OTT KPK Diperiksa di Mapolda Jatim'],/play/KZ7U0DAD-ketum-parpol-yang-terjerat-ott-kpk-diperiksa-di-mapolda-jatim
['Petinggi Partai Politik Terjaring OTT KPK'],/play/bwGUjznm-petinggi-partai-politik-terjaring-ott-kpk
['Wiranto Pimpin Rakorsus Persiapan Pengamanan Jelang Kampanye Terbuka'],/play/N6MU4JJ3-wiranto-pimpin-rakorsus-persiapan-pengamanan-jelang-kampanye-terbuka
['Politik Para Kiai (4)'],/play/N4lUxpmq-politik-para-kiai-4
['Politik Para Kiai (3)'],/play/bJ4UYQVV-politik-para-kiai-3
['Politik Para Kiai (2)'],/play/kj5ULYWL-politik-para-kiai-2
['Politik Para Kiai (1)'],/play/KXXUY3XO-politik-para-kiai-1
['Mengusut Tuntas Jejaring Hoaks'],/play/bmGU6BG2-mengusut-tuntas-jejaring-hoaks
['Waspada Delegitimasi Pemilu (4)'],/play/Kd4UOMp5-waspada-delegitimasi-pemilu-4
['Waspada Delegitimasi Pemilu (3)'],/play/b7yUq2xW-waspada-delegitimasi-pemilu-3
['Waspada Delegitimasi Pemilu (1)'],/play/NP5Ujl78-waspada-delegitimasi-pemilu-1
['Milenial Penentu Kemenangan (4)'],/play/NxXUOpyz-milenial-penentu-kemenangan-4
['Milenial Penentu Kemenangan (3)'],/play/NAvU712X-milenial-penentu-kemenangan-3
['Milenial Penentu Kemenangan (2)'],/play/K5WUX500-milenial-penentu-kemenangan-2
['Milenial Penentu Kemenangan (1)'],/play/KZ7U0ng0-milenial-penentu-kemenangan-1
['Bedah Editorial MI: Narkoba di Lingkaran Elite'],/play/bzYUXBLA-bedah-editorial-mi-narkoba-di-lingkaran-elite
['Narkoba di Lingkaran Elite'],/play/NL0Uj7xr-narkoba-di-lingkaran-elite
['Kawan Jadi Lawan di Tahun Politik'],/play/bzYUX3xa-kawan-jadi-lawan-di-tahun-politik
